"","participant","lang_1","lang_2","region","age","l2_rating","native","l2","item_num","item_text","item_response","e.c_1.0","m_f","condition","repeated_pro","canada_specific_pro","exp_con"
"94",4,"French","","France",NA,NA,1,0,1,"Chacun, il veut avoir raison",1,1,"m",1,NA,0,0
"96",4,"French","","France",NA,NA,1,0,3,"Tous, ils sont d'accord",1,1,"m",1,NA,0,0
"98",4,"French","","France",NA,NA,1,0,5,"Quelqu'un, il a telephone",3,1,"m",1,NA,0,0
"99",4,"French","","France",NA,NA,1,0,6,"Quelqu'une, elle a telephone",1,1,"f",1,NA,0,0
"105",4,"French","","France",NA,NA,1,0,12,"Tous mes amis, ils sont partis en vacances",3,1,"m",1,NA,0,0
"107",4,"French","","France",NA,NA,1,0,14,"Quelques amis, ils sont venus",3,1,"mis",1,NA,0,0
"109",4,"French","","France",NA,NA,1,0,16,"Aucun enfant, il a le droit de faire ca",3,1,"m",1,NA,0,0
"113",4,"French","","France",NA,NA,1,0,20,"Beaucoup d'americains, ils ont achete du papier toilette",3,1,"m",1,NA,0,0
"115",4,"French","","France",NA,NA,1,0,22,"Peu de gens, ils ont accord  une assurance sante",3,1,"m",1,NA,0,0
"118",4,"French","","France",NA,NA,1,0,25,"Jean, il boit et il mange toute la journee",5,NA,"m",2,1,0,0
"121",4,"French","","France",NA,NA,1,0,28,"Andre, i mange et i boit toute la journee",5,NA,"m",2,1,1,0
"123",4,"French","","France",NA,NA,1,0,30,"Marie, elle boit et elle mange toute la journee",5,NA,"f",2,1,1,0
"124",4,"French","","France",NA,NA,1,0,31,"Marie, a boit et a mange toute la journee",5,NA,"f",2,1,1,0
"125",5,"French","","Belgium",NA,NA,1,0,1,"Chacun, il veut avoir raison",2,1,"m",1,NA,0,0
"127",5,"French","","Belgium",NA,NA,1,0,3,"Tous, ils sont d'accord",5,1,"m",1,NA,0,0
"129",5,"French","","Belgium",NA,NA,1,0,5,"Quelqu'un, il a telephone",1,1,"m",1,NA,0,0
"130",5,"French","","Belgium",NA,NA,1,0,6,"Quelqu'une, elle a telephone",2,1,"f",1,NA,0,0
"136",5,"French","","Belgium",NA,NA,1,0,12,"Tous mes amis, ils sont partis en vacances",5,1,"m",1,NA,0,0
"138",5,"French","","Belgium",NA,NA,1,0,14,"Quelques amis, ils sont venus",2,1,"mis",1,NA,0,0
"140",5,"French","","Belgium",NA,NA,1,0,16,"Aucun enfant, il a le droit de faire ca",2,1,"m",1,NA,0,0
"144",5,"French","","Belgium",NA,NA,1,0,20,"Beaucoup d'americains, ils ont achete du papier toilette",2,1,"m",1,NA,0,0
